0,1,2,3,4,5,6,7
LagoYuririaGto,sentinel2,B11,2020,11,20,7,577410.0
LagoYuririaGto,sentinel2,B11,2020,11,25,8,848274.0
LagoYuririaGto,sentinel2,B11,2020,11,25,9,575226.0
LagoYuririaGto,sentinel2,B11,2020,12,5,0,840332.0
LagoYuririaGto,sentinel2,B11,2020,12,5,1,569043.0
LagoYuririaGto,sentinel2,B11,2020,12,10,2,838898.0
LagoYuririaGto,sentinel2,B11,2020,12,10,3,552022.0
LagoYuririaGto,sentinel2,B11,2020,12,15,4,557334.0
LagoYuririaGto,sentinel2,B11,2020,12,20,5,843347.0
LagoYuririaGto,sentinel2,B11,2020,12,20,6,548923.0
LagoYuririaGto,sentinel2,B11,2020,12,25,7,859409.0
LagoYuririaGto,sentinel2,B11,2020,12,25,8,560004.0
LagoYuririaGto,sentinel2,B11,2021,1,4,0,841743.0
LagoYuririaGto,sentinel2,B11,2021,1,4,1,548405.0
LagoYuririaGto,sentinel2,B11,2021,1,9,2,890305.0
LagoYuririaGto,sentinel2,B11,2021,1,9,3,581278.0
LagoYuririaGto,sentinel2,B11,2021,1,19,4,842818.0
LagoYuririaGto,sentinel2,B11,2021,1,19,5,548326.0
LagoYuririaGto,sentinel2,B11,2021,1,24,6,2039632.0
LagoYuririaGto,sentinel2,B11,2021,2,3,0,840795.0
LagoYuririaGto,sentinel2,B11,2021,2,3,1,546709.0
LagoYuririaGto,sentinel2,B11,2021,2,8,2,844730.0
LagoYuririaGto,sentinel2,B11,2021,2,8,3,549115.0
LagoYuririaGto,sentinel2,B11,2021,2,13,4,838865.0
LagoYuririaGto,sentinel2,B11,2021,2,13,5,545206.0
LagoYuririaGto,sentinel2,B11,2021,2,18,6,838149.0
LagoYuririaGto,sentinel2,B11,2021,2,18,7,545227.0
LagoYuririaGto,sentinel2,B11,2021,2,23,8,840698.0
LagoYuririaGto,sentinel2,B11,2021,2,23,9,546358.0
LagoYuririaGto,sentinel2,B11,2021,3,5,0,839729.0
LagoYuririaGto,sentinel2,B11,2021,3,5,1,545415.0
LagoYuririaGto,sentinel2,B11,2021,3,10,2,836576.0
LagoYuririaGto,sentinel2,B11,2021,3,10,3,543507.0
LagoYuririaGto,sentinel2,B11,2021,3,15,4,837258.0
LagoYuririaGto,sentinel2,B11,2021,3,15,5,543521.0
LagoYuririaGto,sentinel2,B11,2021,3,20,6,835744.0
LagoYuririaGto,sentinel2,B11,2021,3,20,7,542170.0
LagoYuririaGto,sentinel2,B11,2021,3,25,8,833761.0
LagoYuririaGto,sentinel2,B11,2021,3,25,9,540393.0
LagoYuririaGto,sentinel2,B11,2021,4,4,0,832277.0
LagoYuririaGto,sentinel2,B11,2021,4,4,1,539432.0
LagoYuririaGto,sentinel2,B11,2021,4,9,2,832360.0
LagoYuririaGto,sentinel2,B11,2021,4,9,3,539480.0
LagoYuririaGto,sentinel2,B11,2021,4,14,4,831041.0
LagoYuririaGto,sentinel2,B11,2021,4,14,5,538743.0
LagoYuririaGto,sentinel2,B11,2021,4,19,6,829573.0
LagoYuririaGto,sentinel2,B11,2021,4,19,7,537718.0
LagoYuririaGto,sentinel2,B11,2021,4,24,8,816653.0
