0,1,2,3,4,5,6
LagoDeChapala,B11,2021,4,27,11,24004.0
LagoDeChapala,B11,2021,4,27,10,3292863.0
LagoDeChapala,B11,2021,4,27,9,2884848.0
LagoDeChapala,B11,2021,4,22,8,211421.0
LagoDeChapala,B11,2021,4,17,7,221694.0
LagoDeChapala,B11,2021,4,17,6,3247580.0
LagoDeChapala,B11,2021,4,12,5,194180.0
LagoDeChapala,B11,2021,4,12,4,573594.0
LagoDeChapala,B11,2021,5,7,3,24004.0
LagoDeChapala,B11,2021,5,7,2,600004.0
LagoDeChapala,B11,2021,5,2,1,61634.0
LagoDeChapala,B11,2021,5,2,0,97358.0
LagoDeChapala,B11,2021,5,27,11,56027.0
LagoDeChapala,B11,2021,5,27,10,28050.0
LagoDeChapala,B11,2021,5,22,9,28645.0
LagoDeChapala,B11,2021,5,22,8,21401.0
LagoDeChapala,B11,2021,5,17,7,24190.0
LagoDeChapala,B11,2021,5,17,6,469524.0
LagoDeChapala,B11,2021,5,12,5,218393.0
LagoDeChapala,B11,2021,5,12,4,414006.0
LagoDeChapala,B11,2021,6,16,5,223926.0
LagoDeChapala,B11,2021,6,16,4,618453.0
LagoDeChapala,B11,2021,6,11,3,212354.0
LagoDeChapala,B11,2021,6,11,2,602163.0
LagoDeChapala,B11,2021,6,6,1,196873.0
LagoDeChapala,B11,2021,6,6,0,3466428.0
LagoDeChapala,B11,2021,7,26,3,238916.0
LagoDeChapala,B11,2021,7,26,2,600528.0
LagoDeChapala,B11,2021,7,6,1,125182.0
LagoDeChapala,B11,2021,7,6,0,458883.0
LagoDeChapala,B11,2021,8,20,4,25085.0
LagoDeChapala,B11,2021,8,20,3,2918270.0
LagoDeChapala,B11,2021,8,15,2,232160.0
LagoDeChapala,B11,2021,8,15,1,2945584.0
LagoDeChapala,B11,2021,8,10,0,25410.0
LagoDeChapala,B11,2021,9,24,2,227242.0
LagoDeChapala,B11,2021,9,24,1,2883348.0
LagoDeChapala,B11,2021,9,9,0,633587.0
LagoDeChapala,B11,2021,10,19,5,230269.0
LagoDeChapala,B11,2021,10,19,4,2957422.0
LagoDeChapala,B11,2021,10,14,3,233939.0
LagoDeChapala,B11,2021,10,14,2,3074194.0
LagoDeChapala,B11,2021,10,9,1,235982.0
LagoDeChapala,B11,2021,10,9,0,2995323.0
